Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR,Recession
6/30/2001,,,3.65,3.63,3.72,4.25,4.52,4.97,5.28,5.42,5.91,5.75,1
5/31/2001,,,3.63,3.59,3.63,4.22,4.49,4.94,5.27,5.43,5.95,5.78,1
4/30/2001,,,3.95,3.97,3.94,4.3,4.55,4.97,5.22,5.35,5.92,5.78,1
3/31/2001,,,4.3,4.09,4.09,4.18,4.33,4.62,4.86,4.93,5.6,5.46,1
2/28/2001,,,4.85,4.7,4.47,4.41,4.48,4.7,4.93,4.92,5.51,5.34,0
1/31/2001,,,4.99,4.83,4.6,4.62,4.67,4.85,5.08,5.19,5.65,5.54,0
12/31/2000,,,5.89,5.7,5.32,5.11,5.06,4.99,5.16,5.12,5.59,5.46,0
11/30/2000,,,6.21,6.18,5.92,5.61,5.52,5.42,5.5,5.48,5.78,5.6,0
10/31/2000,,,6.38,6.36,6.12,5.94,5.87,5.83,5.87,5.77,6.02,5.79,0
9/30/2000,,,6.23,6.28,6.07,5.98,5.91,5.85,5.93,5.8,6.13,5.88,0
8/31/2000,,,6.31,6.38,6.22,6.18,6.09,5.98,5.98,5.73,5.96,5.67,0
7/31/2000,,,6.27,6.42,6.07,6.3,6.24,6.16,6.19,6.04,6.13,5.79,0
6/30/2000,,,5.88,6.23,6.08,6.38,6.31,6.18,6.25,6.03,6.26,5.9,0
5/31/2000,,,5.63,6.35,6.37,6.69,6.66,6.54,6.52,6.29,6.42,6.02,0
4/30/2000,,,5.82,6.12,6.24,6.68,6.64,6.56,6.49,6.23,6.31,5.97,0
3/31/2000,,,5.88,6.15,6.28,6.5,6.44,6.32,6.28,6.03,6.2,5.84,0
2/29/2000,,,5.78,6.02,6.2,6.53,6.58,6.61,6.67,6.42,6.46,6.15,0
1/31/2000,,,5.76,5.97,6.3,6.61,6.65,6.71,6.75,6.68,6.72,6.49,0
12/31/1999,,,5.33,5.74,5.98,6.24,6.29,6.36,6.55,6.45,6.83,6.48,0
11/30/1999,,,5.3,5.57,5.7,6.01,6.05,6.11,6.28,6.18,6.62,6.29,0
10/31/1999,,,5.12,5.28,5.43,5.79,5.9,5.97,6.19,6.02,6.52,6.16,0
9/30/1999,,,4.88,4.99,5.22,5.63,5.7,5.78,6.1,5.9,6.47,6.06,0
8/31/1999,,,4.98,5.21,5.3,5.73,5.82,5.88,6.2,5.98,6.49,6.07,0
7/31/1999,,,4.75,4.85,5.13,5.63,5.7,5.82,6.1,5.92,6.4,6.11,0
6/30/1999,,,4.78,5.04,5.07,5.53,5.59,5.67,5.93,5.81,6.29,5.98,0
5/31/1999,,,4.66,4.83,4.97,5.42,5.51,5.6,5.83,5.64,6.15,5.84,0
4/30/1999,,,4.55,4.66,4.78,5.08,5.17,5.24,5.42,5.36,5.94,5.68,0
3/31/1999,,,4.49,4.53,4.72,4.99,5.07,5.12,5.38,5.25,5.92,5.63,0
2/28/1999,,,4.66,4.7,4.88,5.13,5.16,5.21,5.39,5.29,5.85,5.57,0
1/31/1999,,,4.48,4.47,4.51,4.58,4.57,4.55,4.72,4.66,5.35,5.09,0
12/31/1998,,,4.48,4.55,4.53,4.54,4.55,4.56,4.73,4.65,5.39,5.09,0
11/30/1998,,,4.57,4.58,4.53,4.54,4.54,4.51,4.7,4.74,5.33,5.08,0
10/31/1998,,,4.33,4.36,4.18,4.12,4.24,4.24,4.47,4.64,5.38,5.15,0
9/30/1998,,,4.37,4.49,4.41,4.3,4.26,4.23,4.38,4.44,5.17,4.98,0
8/31/1998,,,4.96,5.03,4.95,4.91,4.85,4.91,5.03,5.05,5.45,5.3,0
